% Model,cmt.mph
% Version,COMSOL 6.3.0.420
% Date,"Sep 5 2025, 03:55"
% Table,Accumulated Probe Table 2 - 
% gap (m),Effective_mode_index (1),C12,C21,X11,X22,K12,K21,neff2,xpol1,ypol1,zpol1,xpol2,ypol2,zpol2
7.040268456375839E-8,1.498802700990009+2.224523264383644E-9i,0.06833581237783942+3.028659093999434E-14i,0.06833620219387901-3.028676370736949E-14i,169214.70993784335,169166.08946110355,56906.04468070695+2.6212265088233204E-8i,56972.183924085955-2.6679816740280904E-8i,2.4041634205075195,0.7044974882581916,0.013237514326104262,0.2822649974157039,0.7044974882582111,0.013237514326102567,0.2822649974156866
7.040268456375839E-8,2.4041634205075195,0.06833581237783942+3.028659093999434E-14i,0.06833620219387901-3.028676370736949E-14i,169214.70993784335,169166.08946110355,56906.04468070695+2.6212265088233204E-8i,56972.183924085955-2.6679816740280904E-8i,2.4041634205075195,0.7044974882581916,0.013237514326104262,0.2822649974157039,0.7044974882582111,0.013237514326102567,0.2822649974156866
8.046979865771812E-8,1.4988027009900051+2.2245220519376982E-9i,0.06248405599960468+1.0428474254342739E-14i,0.06248595946719488-1.0428791939589653E-14i,137126.59297591963,137182.31210970698,52056.49119634271+1.0122401761535424E-8i,52158.071569977175-1.0184432710124139E-8i,2.404163420507524,0.7044974882581916,0.01323751432610426,0.2822649974157039,0.7044974882582132,0.013237514326102377,0.28226499741568734
8.046979865771812E-8,2.404163420507524,0.06248405599960468+1.0428474254342739E-14i,0.06248595946719488-1.0428791939589653E-14i,137126.59297591963,137182.31210970698,52056.49119634271+1.0122401761535424E-8i,52158.071569977175-1.0184432710124139E-8i,2.404163420507524,0.7044974882581916,0.01323751432610426,0.2822649974157039,0.7044974882582132,0.013237514326102377,0.28226499741568734
9.053691275167785E-8,1.4988027009900196+2.224522456086317E-9i,0.05710835099160459+7.961495023303485E-15i,0.05710936462193957-7.961636333860124E-15i,111313.18131466092,111396.3450870728,47393.168754487626+8.421042006157246E-9i,47294.99850873805-7.844834350020202E-9i,2.4041634205075226-4.847445063950463E-16i,0.7044974882581916,0.01323751432610426,0.2822649974157039,0.7044974882582131,0.013237514326102295,0.2822649974156855
9.053691275167785E-8,2.4041634205075226-4.847445063950463E-16i,0.05710835099160459+7.961495023303485E-15i,0.05710936462193957-7.961636333860124E-15i,111313.18131466092,111396.3450870728,47393.168754487626+8.421042006157246E-9i,47294.99850873805-7.844834350020202E-9i,2.4041634205075226-4.847445063950463E-16i,0.7044974882581916,0.01323751432610426,0.2822649974157039,0.7044974882582131,0.013237514326102295,0.2822649974156855
1.0060402684563759E-7,1.4988027009900167+2.224524072680931E-9i,0.05226070451967944-7.149568652057441E-15i,0.05226069177686833+7.149566908766687E-15i,90387.21149074362,90452.99370640359,43287.28946182951-5.718590678064443E-9i,43601.732440440086+4.367200395422821E-9i,2.4041634205075217+9.694890127900938E-16i,0.7044974882581916,0.01323751432610426,0.2822649974157039,0.7044974882582125,0.013237514326102312,0.2822649974156859
1.0060402684563759E-7,2.4041634205075217+9.694890127900938E-16i,0.05226070451967944-7.149568652057441E-15i,0.05226069177686833+7.149566908766687E-15i,90387.21149074362,90452.99370640359,43287.28946182951-5.718590678064443E-9i,43601.732440440086+4.367200395422821E-9i,2.4041634205075217+9.694890127900938E-16i,0.7044974882581916,0.01323751432610426,0.2822649974157039,0.7044974882582125,0.013237514326102312,0.2822649974156859
1.1067114093959732E-7,1.4988027009900153+2.2245236685322814E-9i,0.04779756765973292+2.146243196653921E-14i,0.047798147779703024-2.1462692456476255E-14i,73477.73466550079,73440.36480378006,39527.019674670744+1.9109261221851842E-8i,39565.53283032083-1.88641094714851E-8i,2.4041634205075257,0.7044974882581916,0.01323751432610426,0.2822649974157039,0.7044974882582113,0.013237514326102998,0.2822649974156875
1.1067114093959732E-7,2.4041634205075257,0.04779756765973292+2.146243196653921E-14i,0.047798147779703024-2.1462692456476255E-14i,73477.73466550079,73440.36480378006,39527.019674670744+1.9109261221851842E-8i,39565.53283032083-1.88641094714851E-8i,2.4041634205075257,0.7044974882581916,0.01323751432610426,0.2822649974157039,0.7044974882582113,0.013237514326102998,0.2822649974156875
1.2073825503355707E-7,1.498802700990017+2.224522456086324E-9i,0.04372310592608609+7.655354034812007E-15i,0.04372407081762562-7.655522974922363E-15i,59796.20745262877,59652.26999115973,35938.461133382094+8.013521317872755E-9i,36162.21758887948-7.410705389735608E-9i,2.404163420507521,0.7044974882581916,0.01323751432610426,0.2822649974157038,0.7044974882582125,0.013237514326102333,0.28226499741568567
1.2073825503355707E-7,2.404163420507521,0.04372310592608609+7.655354034812007E-15i,0.04372407081762562-7.655522974922363E-15i,59796.20745262877,59652.26999115973,35938.461133382094+8.013521317872755E-9i,36162.21758887948-7.410705389735608E-9i,2.404163420507521,0.7044974882581916,0.01323751432610426,0.2822649974157038,0.7044974882582125,0.013237514326102333,0.28226499741568567
1.308053691275168E-7,1.498802700990013+2.224523264383635E-9i,0.04000101338094383-5.975449269379894E-15i,0.04000077948757443+5.97541432981599E-15i,48662.66488440565,48612.24392586058,32828.96766564247-2.466494097802452E-9i,32885.11767156575+4.1010400298661775E-9i,2.404163420507528,0.7044974882581916,0.013237514326104262,0.2822649974157039,0.7044974882582117,0.013237514326103124,0.28226499741568745
1.308053691275168E-7,2.404163420507528,0.04000101338094383-5.975449269379894E-15i,0.04000077948757443+5.97541432981599E-15i,48662.66488440565,48612.24392586058,32828.96766564247-2.466494097802452E-9i,32885.11767156575+4.1010400298661775E-9i,2.404163420507528,0.7044974882581916,0.013237514326104262,0.2822649974157039,0.7044974882582117,0.013237514326103124,0.28226499741568745
1.4087248322147653E-7,1.4988027009900167+2.2245216477890213E-9i,0.03660592117080797+1.2804948422860606E-14i,0.03660664765609881-1.2805202551328944E-14i,39597.12535683457,39628.96142341988,29919.604272400262+1.2473510360517633E-8i,30048.705695208046-1.116476445092706E-8i,2.404163420507522,0.7044974882581916,0.01323751432610426,0.2822649974157039,0.7044974882582133,0.013237514326102212,0.28226499741568534
1.4087248322147653E-7,2.404163420507522,0.03660592117080797+1.2804948422860606E-14i,0.03660664765609881-1.2805202551328944E-14i,39597.12535683457,39628.96142341988,29919.604272400262+1.2473510360517633E-8i,30048.705695208046-1.116476445092706E-8i,2.404163420507522,0.7044974882581916,0.01323751432610426,0.2822649974157039,0.7044974882582133,0.013237514326102212,0.28226499741568534
1.5093959731543625E-7,1.4988027009900107+2.2245216477890337E-9i,0.033508630753978405+1.2578131401401377E-14i,0.03350856625316691-1.2578107189738166E-14i,32257.323918917387,32310.93553306903,27250.23977880802+1.0436009857465168E-8i,27308.668197101895-1.1523216059905341E-8i,2.4041634205075257+4.847445063950429E-16i,0.7044974882581917,0.013237514326104262,0.2822649974157039,0.7044974882582112,0.01323751432610289,0.2822649974156873
1.5093959731543625E-7,2.4041634205075257+4.847445063950429E-16i,0.033508630753978405+1.2578131401401377E-14i,0.03350856625316691-1.2578107189738166E-14i,32257.323918917387,32310.93553306903,27250.23977880802+1.0436009857465168E-8i,27308.668197101895-1.1523216059905341E-8i,2.4041634205075257+4.847445063950429E-16i,0.7044974882581917,0.013237514326104262,0.2822649974157039,0.7044974882582112,0.01323751432610289,0.2822649974156873
1.61006711409396E-7,1.4988027009900147+2.2245196270457673E-9i,0.03066634548588951-1.833708667784549E-16i,0.030665730490497443+1.8336718938435002E-16i,26361.875214082393,26293.428377947785,24844.106072369443+2.028428708136243E-10i,24934.08261992656-1.072036703288952E-9i,2.404163420507528,0.7044974882581916,0.013237514326104262,0.2822649974157039,0.7044974882582109,0.013237514326103006,0.2822649974156876
1.61006711409396E-7,2.404163420507528,0.03066634548588951-1.833708667784549E-16i,0.030665730490497443+1.8336718938435002E-16i,26361.875214082393,26293.428377947785,24844.106072369443+2.028428708136243E-10i,24934.08261992656-1.072036703288952E-9i,2.404163420507528,0.7044974882581916,0.013237514326104262,0.2822649974157039,0.7044974882582109,0.013237514326103006,0.2822649974156876
1.7107382550335572E-7,1.498802700990009+2.2245236685322955E-9i,0.02807306808402829+5.13362675186826E-16i,0.0280725903002038-5.13353938116066E-16i,21474.279957687555,21445.98787877052,22690.25944830678+3.1843326824013627E-9i,22630.528232041324-1.1268323433650394E-9i,2.404163420507521+4.84744506395048E-16i,0.7044974882581917,0.013237514326104266,0.2822649974157039,0.7044974882582123,0.013237514326102371,0.2822649974156864
1.7107382550335572E-7,2.404163420507521+4.84744506395048E-16i,0.02807306808402829+5.13362675186826E-16i,0.0280725903002038-5.13353938116066E-16i,21474.279957687555,21445.98787877052,22690.25944830678+3.1843326824013627E-9i,22630.528232041324-1.1268323433650394E-9i,2.404163420507521+4.84744506395048E-16i,0.7044974882581917,0.013237514326104266,0.2822649974157039,0.7044974882582123,0.013237514326102371,0.2822649974156864
1.8114093959731544E-7,1.4988027009900071+2.2245228602349962E-9i,0.025700268806316453+1.3484951234657917E-14i,0.025700549124297308-1.3485098317722709E-14i,17497.19739755644,17507.789038988394,20624.533250599146+1.1277592576201763E-8i,20685.540474160116-1.1838930561143335E-8i,2.4041634205075217+4.847445063950471E-16i,0.7044974882581916,0.01323751432610426,0.2822649974157038,0.7044974882582116,0.01323751432610228,0.28226499741568656
1.8114093959731544E-7,2.4041634205075217+4.847445063950471E-16i,0.025700268806316453+1.3484951234657917E-14i,0.025700549124297308-1.3485098317722709E-14i,17497.19739755644,17507.789038988394,20624.533250599146+1.1277592576201763E-8i,20685.540474160116-1.1838930561143335E-8i,2.4041634205075217+4.847445063950471E-16i,0.7044974882581916,0.01323751432610426,0.2822649974157038,0.7044974882582116,0.01323751432610228,0.28226499741568656
1.912080536912752E-7,1.4988027009900144+2.2245232643836322E-9i,0.023539861347577556+3.084464448582825E-15i,0.023540109818624852-3.0844970061285366E-15i,14321.49867664789,14354.76436102417,18818.837291895845+3.440937366996746E-9i,18926.056160501197-3.4907283791054962E-9i,2.4041634205075177,0.7044974882581916,0.01323751432610426,0.2822649974157038,0.7044974882582136,0.013237514326102264,0.2822649974156857
1.912080536912752E-7,2.4041634205075177,0.023539861347577556+3.084464448582825E-15i,0.023540109818624852-3.0844970061285366E-15i,14321.49867664789,14354.76436102417,18818.837291895845+3.440937366996746E-9i,18926.056160501197-3.4907283791054962E-9i,2.4041634205075177,0.7044974882581916,0.01323751432610426,0.2822649974157038,0.7044974882582136,0.013237514326102264,0.2822649974156857
