% Model,tutorial_comsol_projeto1.mph
% Version,COMSOL 6.3.0.420
% Date,"Aug 30 2025, 19:06"
% Table,Accumulated Probe Table 3 - 
% gap (m),Effective_mode_index (1),C12,C21,X11,X22,K12,K21
1.5093959731543625E-7,2.404163420507521+7.271167595925719E-16i,-6.70515091203444E-6+2.361540543066675E-9i,-6.703965346704294E-6-2.3611229893636364E-9i,8267660.771114818,7946482.480373226,138.1115920419603+0.026245061078820374i,5.81441637477099-0.0011719749368057665i
1.61006711409396E-7,1.4988027009900209+2.2245232643836177E-9i,-1.3346536713733777E-5+2.122586580304665E-9i,-1.3342605875613232E-5-2.1219614335401365E-9i,8268557.583544159,7946408.829603916,194.51705452222294+0.0239599720395343i,9.937635588182076-0.0010486246461068587i
1.61006711409396E-7,2.4041634205075226+4.847445063950461E-16i,-1.3346536713733777E-5+2.122586580304665E-9i,-1.3342605875613232E-5-2.1219614335401365E-9i,8268557.583544159,7946408.829603916,194.51705452222294+0.0239599720395343i,9.937635588182076-0.0010486246461068587i
1.7107382550335572E-7,1.498802700990015+2.2245232643836306E-9i,6.90147454021408E-6+1.7952851297957384E-9i,6.899029604457192E-6-1.7946491270426956E-9i,8269133.641870203,7946487.540171159,241.93740449556302+0.021719425382110066i,134.39879210951653-6.735747513813565E-4i
1.7107382550335572E-7,2.404163420507521,6.90147454021408E-6+1.7952851297957384E-9i,6.899029604457192E-6-1.7946491270426956E-9i,8269133.641870203,7946487.540171159,241.93740449556302+0.021719425382110066i,134.39879210951653-6.735747513813565E-4i
1.8114093959731544E-7,1.4988027009900133+2.2245248809782402E-9i,-1.184329842419667E-5+1.605533820753555E-9i,-1.18396127852951E-5-1.6050341780277036E-9i,8268674.397108332,7946388.511639505,197.50449439726577+0.01931908135829865i,12.083483768441697-8.474447569761493E-4i
1.8114093959731544E-7,2.404163420507525+9.694890127900883E-16i,-1.184329842419667E-5+1.605533820753555E-9i,-1.18396127852951E-5-1.6050341780277036E-9i,8268674.397108332,7946388.511639505,197.50449439726577+0.01931908135829865i,12.083483768441697-8.474447569761493E-4i
1.912080536912752E-7,1.498802700990009+2.2245212436403857E-9i,6.313408620729909E-6+1.3763076782239981E-9i,6.311933502933963E-6-1.3759861061428876E-9i,8268018.62228946,7946374.697878793,190.07706400675713+0.017175334204749936i,118.86442411910451-5.326644303302972E-4i
1.912080536912752E-7,2.4041634205075257,6.313408620729909E-6+1.3763076782239981E-9i,6.311933502933963E-6-1.3759861061428876E-9i,8268018.62228946,7946374.697878793,190.07706400675713+0.017175334204749936i,118.86442411910451-5.326644303302972E-4i
2.012751677852349E-7,1.4988027009900147+2.2245220519376763E-9i,-1.7667278062957695E-5+1.2466455753575048E-9i,-1.7663094990990243E-5-1.2463504077521165E-9i,8268119.88351437,7946447.212539566,239.43293452217176+0.014449674982721025i,60.80362255211775-5.840244995909641E-4i
